plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
37,19122,connected,,,compute_xpu-001,be-be0,server,conv_leaf-01,E1/1/1,leaf
37,19123,connected,,,compute_xpu-001,be-be1,server,conv_leaf-02,E1/1/1,leaf
37,19124,connected,,,compute_xpu-001,be-be2,server,conv_leaf-01,E1/1/2,leaf
37,19125,connected,,,compute_xpu-001,be-be3,server,conv_leaf-02,E1/1/2,leaf
37,19126,connected,,,compute_xpu-001,be-be4,server,conv_leaf-01,E1/2/1,leaf
37,19127,connected,,,compute_xpu-001,be-be5,server,conv_leaf-02,E1/2/1,leaf
37,19128,connected,,,compute_xpu-001,be-be6,server,conv_leaf-01,E1/2/2,leaf
37,19129,connected,,,compute_xpu-001,be-be7,server,conv_leaf-02,E1/2/2,leaf
37,19130,connected,,,compute_xpu-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
37,19131,connected,,,compute_xpu-001,fe-fe0,server,conv_leaf-01,E1/27/1,leaf
37,19132,connected,,,compute_xpu-001,fe-fe1,server,conv_leaf-02,E1/27/1,leaf
37,19133,connected,,,compute_xpu-002,be-be0,server,conv_leaf-01,E1/3/1,leaf
37,19134,connected,,,compute_xpu-002,be-be1,server,conv_leaf-02,E1/3/1,leaf
37,19135,connected,,,compute_xpu-002,be-be2,server,conv_leaf-01,E1/3/2,leaf
37,19136,connected,,,compute_xpu-002,be-be3,server,conv_leaf-02,E1/3/2,leaf
37,19137,connected,,,compute_xpu-002,be-be4,server,conv_leaf-01,E1/4/1,leaf
37,19138,connected,,,compute_xpu-002,be-be5,server,conv_leaf-02,E1/4/1,leaf
37,19139,connected,,,compute_xpu-002,be-be6,server,conv_leaf-01,E1/4/2,leaf
37,19140,connected,,,compute_xpu-002,be-be7,server,conv_leaf-02,E1/4/2,leaf
37,19141,connected,,,compute_xpu-002,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
37,19142,connected,,,compute_xpu-002,fe-fe0,server,conv_leaf-01,E1/27/2,leaf
37,19143,connected,,,compute_xpu-002,fe-fe1,server,conv_leaf-02,E1/27/2,leaf
37,19144,connected,,,compute_xpu-003,be-be0,server,conv_leaf-01,E1/5/1,leaf
37,19145,connected,,,compute_xpu-003,be-be1,server,conv_leaf-02,E1/5/1,leaf
37,19146,connected,,,compute_xpu-003,be-be2,server,conv_leaf-01,E1/5/2,leaf
37,19147,connected,,,compute_xpu-003,be-be3,server,conv_leaf-02,E1/5/2,leaf
37,19148,connected,,,compute_xpu-003,be-be4,server,conv_leaf-01,E1/6/1,leaf
37,19149,connected,,,compute_xpu-003,be-be5,server,conv_leaf-02,E1/6/1,leaf
37,19150,connected,,,compute_xpu-003,be-be6,server,conv_leaf-01,E1/6/2,leaf
37,19151,connected,,,compute_xpu-003,be-be7,server,conv_leaf-02,E1/6/2,leaf
37,19152,connected,,,compute_xpu-003,bmc-bmc0,server,oob_leaf-01,E1/3,leaf
37,19153,connected,,,compute_xpu-003,fe-fe0,server,conv_leaf-01,E1/27/3,leaf
37,19154,connected,,,compute_xpu-003,fe-fe1,server,conv_leaf-02,E1/27/3,leaf
37,19155,connected,,,compute_xpu-004,be-be0,server,conv_leaf-01,E1/7/1,leaf
37,19156,connected,,,compute_xpu-004,be-be1,server,conv_leaf-02,E1/7/1,leaf
37,19157,connected,,,compute_xpu-004,be-be2,server,conv_leaf-01,E1/7/2,leaf
37,19158,connected,,,compute_xpu-004,be-be3,server,conv_leaf-02,E1/7/2,leaf
37,19159,connected,,,compute_xpu-004,be-be4,server,conv_leaf-01,E1/8/1,leaf
37,19160,connected,,,compute_xpu-004,be-be5,server,conv_leaf-02,E1/8/1,leaf
37,19161,connected,,,compute_xpu-004,be-be6,server,conv_leaf-01,E1/8/2,leaf
37,19162,connected,,,compute_xpu-004,be-be7,server,conv_leaf-02,E1/8/2,leaf
37,19163,connected,,,compute_xpu-004,bmc-bmc0,server,oob_leaf-01,E1/4,leaf
37,19164,connected,,,compute_xpu-004,fe-fe0,server,conv_leaf-01,E1/27/4,leaf
37,19165,connected,,,compute_xpu-004,fe-fe1,server,conv_leaf-02,E1/27/4,leaf
37,19166,connected,,,compute_xpu-005,be-be0,server,conv_leaf-01,E1/9/1,leaf
37,19167,connected,,,compute_xpu-005,be-be1,server,conv_leaf-02,E1/9/1,leaf
37,19168,connected,,,compute_xpu-005,be-be2,server,conv_leaf-01,E1/9/2,leaf
37,19169,connected,,,compute_xpu-005,be-be3,server,conv_leaf-02,E1/9/2,leaf
37,19170,connected,,,compute_xpu-005,be-be4,server,conv_leaf-01,E1/10/1,leaf
37,19171,connected,,,compute_xpu-005,be-be5,server,conv_leaf-02,E1/10/1,leaf
37,19172,connected,,,compute_xpu-005,be-be6,server,conv_leaf-01,E1/10/2,leaf
37,19173,connected,,,compute_xpu-005,be-be7,server,conv_leaf-02,E1/10/2,leaf
37,19174,connected,,,compute_xpu-005,bmc-bmc0,server,oob_leaf-02,E1/1,leaf
