plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
38,19305,connected,,,compute_xpu-001,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/1,leaf
38,19306,connected,,,compute_xpu-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
38,19307,connected,,,compute_xpu-001,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/1/1,leaf
38,19308,connected,,,compute_xpu-001,scale_out-so1,server,soc_storage_scale_out_leaf-01,E1/1/2,leaf
38,19309,connected,,,compute_xpu-001,scale_out-so2,server,soc_storage_scale_out_leaf-01,E1/2/1,leaf
38,19310,connected,,,compute_xpu-001,scale_out-so3,server,soc_storage_scale_out_leaf-01,E1/2/2,leaf
38,19311,connected,,,compute_xpu-001,scale_out-so4,server,soc_storage_scale_out_leaf-02,E1/1/1,leaf
38,19312,connected,,,compute_xpu-001,scale_out-so5,server,soc_storage_scale_out_leaf-02,E1/1/2,leaf
38,19313,connected,,,compute_xpu-001,scale_out-so6,server,soc_storage_scale_out_leaf-02,E1/2/1,leaf
38,19314,connected,,,compute_xpu-001,scale_out-so7,server,soc_storage_scale_out_leaf-02,E1/2/2,leaf
38,19315,connected,,,compute_xpu-001,soc_storage-ss0,server,soc_storage_scale_out_leaf-01,E1/27/1,leaf
38,19316,connected,,,compute_xpu-001,soc_storage-ss1,server,soc_storage_scale_out_leaf-01,E1/27/2,leaf
38,19317,connected,,,compute_xpu-002,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/2,leaf
38,19318,connected,,,compute_xpu-002,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
38,19319,connected,,,compute_xpu-002,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/3/1,leaf
38,19320,connected,,,compute_xpu-002,scale_out-so1,server,soc_storage_scale_out_leaf-01,E1/3/2,leaf
38,19321,connected,,,compute_xpu-002,scale_out-so2,server,soc_storage_scale_out_leaf-01,E1/4/1,leaf
38,19322,connected,,,compute_xpu-002,scale_out-so3,server,soc_storage_scale_out_leaf-01,E1/4/2,leaf
38,19323,connected,,,compute_xpu-002,scale_out-so4,server,soc_storage_scale_out_leaf-02,E1/3/1,leaf
