plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
39,19433,connected,,,compute_xpu-001,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/1,leaf
39,19434,connected,,,compute_xpu-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
39,19435,connected,,,compute_xpu-001,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/1/1,leaf
39,19436,connected,,,compute_xpu-001,scale_out-so1,server,soc_storage_scale_out_leaf-01,E1/1/2,leaf
39,19437,connected,,,compute_xpu-001,scale_out-so2,server,soc_storage_scale_out_leaf-01,E1/2/1,leaf
39,19438,connected,,,compute_xpu-001,scale_out-so3,server,soc_storage_scale_out_leaf-01,E1/2/2,leaf
39,19439,connected,,,compute_xpu-001,scale_out-so4,server,soc_storage_scale_out_leaf-01,E1/3/1,leaf
39,19440,connected,,,compute_xpu-001,scale_out-so5,server,soc_storage_scale_out_leaf-01,E1/3/2,leaf
39,19441,connected,,,compute_xpu-001,scale_out-so6,server,soc_storage_scale_out_leaf-01,E1/4/1,leaf
39,19442,connected,,,compute_xpu-001,scale_out-so7,server,soc_storage_scale_out_leaf-01,E1/4/2,leaf
39,19443,connected,,,compute_xpu-001,soc_storage-ss0,server,soc_storage_scale_out_leaf-01,E1/27/1,leaf
39,19444,connected,,,compute_xpu-001,soc_storage-ss1,server,soc_storage_scale_out_leaf-01,E1/27/2,leaf
39,19445,connected,,,compute_xpu-002,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/2,leaf
39,19446,connected,,,compute_xpu-002,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
39,19447,connected,,,compute_xpu-002,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/5/1,leaf
39,19448,connected,,,compute_xpu-002,scale_out-so1,server,soc_storage_scale_out_leaf-01,E1/5/2,leaf
39,19449,connected,,,compute_xpu-002,scale_out-so2,server,soc_storage_scale_out_leaf-01,E1/6/1,leaf
39,19450,connected,,,compute_xpu-002,scale_out-so3,server,soc_storage_scale_out_leaf-01,E1/6/2,leaf
39,19451,connected,,,compute_xpu-002,scale_out-so4,server,soc_storage_scale_out_leaf-01,E1/7/1,leaf
39,19452,connected,,,compute_xpu-002,scale_out-so5,server,soc_storage_scale_out_leaf-01,E1/7/2,leaf
39,19453,connected,,,compute_xpu-002,scale_out-so6,server,soc_storage_scale_out_leaf-01,E1/8/1,leaf
39,19454,connected,,,compute_xpu-002,scale_out-so7,server,soc_storage_scale_out_leaf-01,E1/8/2,leaf
39,19455,connected,,,compute_xpu-002,soc_storage-ss0,server,soc_storage_scale_out_leaf-01,E1/27/3,leaf
39,19456,connected,,,compute_xpu-002,soc_storage-ss1,server,soc_storage_scale_out_leaf-01,E1/27/4,leaf
39,19457,connected,,,compute_xpu-003,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/3,leaf
39,19458,connected,,,compute_xpu-003,bmc-bmc0,server,oob_leaf-01,E1/3,leaf
39,19459,connected,,,compute_xpu-003,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/9/1,leaf
39,19460,connected,,,compute_xpu-003,scale_out-so1,server,soc_storage_scale_out_leaf-01,E1/9/2,leaf
39,19461,connected,,,compute_xpu-003,scale_out-so2,server,soc_storage_scale_out_leaf-01,E1/10/1,leaf
39,19462,connected,,,compute_xpu-003,scale_out-so3,server,soc_storage_scale_out_leaf-01,E1/10/2,leaf
39,19463,connected,,,compute_xpu-003,scale_out-so4,server,soc_storage_scale_out_leaf-01,E1/11/1,leaf
39,19464,connected,,,compute_xpu-003,scale_out-so5,server,soc_storage_scale_out_leaf-01,E1/11/2,leaf
39,19465,connected,,,compute_xpu-003,scale_out-so6,server,soc_storage_scale_out_leaf-01,E1/12/1,leaf
39,19466,connected,,,compute_xpu-003,scale_out-so7,server,soc_storage_scale_out_leaf-01,E1/12/2,leaf
39,19467,connected,,,compute_xpu-003,soc_storage-ss0,server,soc_storage_scale_out_leaf-01,E1/29/1,leaf
39,19468,connected,,,compute_xpu-003,soc_storage-ss1,server,soc_storage_scale_out_leaf-01,E1/29/2,leaf
39,19469,connected,,,compute_xpu-004,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/4,leaf
39,19470,connected,,,compute_xpu-004,bmc-bmc0,server,oob_leaf-01,E1/4,leaf
39,19471,connected,,,compute_xpu-004,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/13/1,leaf
