plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
48,21737,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
48,21738,connected,,,compute-001,be1-port0,server,be-rail-leaf-02,E1/1/1,leaf
48,21739,connected,,,compute-001,be2-port0,server,be-rail-leaf-03,E1/1/1,leaf
48,21740,connected,,,compute-001,be3-port0,server,be-rail-leaf-04,E1/1/1,leaf
48,21741,connected,,,compute-001,be4-port0,server,be-rail-leaf-05,E1/1/1,leaf
48,21742,connected,,,compute-001,be5-port0,server,be-rail-leaf-06,E1/1/1,leaf
48,21743,connected,,,compute-001,be6-port0,server,be-rail-leaf-07,E1/1/1,leaf
48,21744,connected,,,compute-001,be7-port0,server,be-rail-leaf-08,E1/1/1,leaf
48,21745,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
48,21746,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
48,21747,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/1/2,leaf
48,21748,connected,,,compute-002,be1-port0,server,be-rail-leaf-02,E1/1/2,leaf
48,21749,connected,,,compute-002,be2-port0,server,be-rail-leaf-03,E1/1/2,leaf
48,21750,connected,,,compute-002,be3-port0,server,be-rail-leaf-04,E1/1/2,leaf
48,21751,connected,,,compute-002,be4-port0,server,be-rail-leaf-05,E1/1/2,leaf
48,21752,connected,,,compute-002,be5-port0,server,be-rail-leaf-06,E1/1/2,leaf
48,21753,connected,,,compute-002,be6-port0,server,be-rail-leaf-07,E1/1/2,leaf
48,21754,connected,,,compute-002,be7-port0,server,be-rail-leaf-08,E1/1/2,leaf
48,21755,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
48,21756,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
48,21757,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
48,21758,connected,,,compute-003,be1-port0,server,be-rail-leaf-02,E1/2/1,leaf
48,21759,connected,,,compute-003,be2-port0,server,be-rail-leaf-03,E1/2/1,leaf
48,21760,connected,,,compute-003,be3-port0,server,be-rail-leaf-04,E1/2/1,leaf
48,21761,connected,,,compute-003,be4-port0,server,be-rail-leaf-05,E1/2/1,leaf
48,21762,connected,,,compute-003,be5-port0,server,be-rail-leaf-06,E1/2/1,leaf
48,21763,connected,,,compute-003,be6-port0,server,be-rail-leaf-07,E1/2/1,leaf
48,21764,connected,,,compute-003,be7-port0,server,be-rail-leaf-08,E1/2/1,leaf
48,21765,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
48,21766,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
48,21767,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/2/2,leaf
48,21768,connected,,,compute-004,be1-port0,server,be-rail-leaf-02,E1/2/2,leaf
48,21769,connected,,,compute-004,be2-port0,server,be-rail-leaf-03,E1/2/2,leaf
48,21770,connected,,,compute-004,be3-port0,server,be-rail-leaf-04,E1/2/2,leaf
48,21771,connected,,,compute-004,be4-port0,server,be-rail-leaf-05,E1/2/2,leaf
48,21772,connected,,,compute-004,be5-port0,server,be-rail-leaf-06,E1/2/2,leaf
48,21773,connected,,,compute-004,be6-port0,server,be-rail-leaf-07,E1/2/2,leaf
48,21774,connected,,,compute-004,be7-port0,server,be-rail-leaf-08,E1/2/2,leaf
48,21775,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
48,21776,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
48,21777,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
48,21778,connected,,,compute-005,be1-port0,server,be-rail-leaf-02,E1/3/1,leaf
48,21779,connected,,,compute-005,be2-port0,server,be-rail-leaf-03,E1/3/1,leaf
48,21780,connected,,,compute-005,be3-port0,server,be-rail-leaf-04,E1/3/1,leaf
48,21781,connected,,,compute-005,be4-port0,server,be-rail-leaf-05,E1/3/1,leaf
48,21782,connected,,,compute-005,be5-port0,server,be-rail-leaf-06,E1/3/1,leaf
48,21783,connected,,,compute-005,be6-port0,server,be-rail-leaf-07,E1/3/1,leaf
48,21784,connected,,,compute-005,be7-port0,server,be-rail-leaf-08,E1/3/1,leaf
48,21785,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
48,21786,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
48,21787,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/3/2,leaf
48,21788,connected,,,compute-006,be1-port0,server,be-rail-leaf-02,E1/3/2,leaf
48,21789,connected,,,compute-006,be2-port0,server,be-rail-leaf-03,E1/3/2,leaf
48,21790,connected,,,compute-006,be3-port0,server,be-rail-leaf-04,E1/3/2,leaf
48,21791,connected,,,compute-006,be4-port0,server,be-rail-leaf-05,E1/3/2,leaf
48,21792,connected,,,compute-006,be5-port0,server,be-rail-leaf-06,E1/3/2,leaf
48,21793,connected,,,compute-006,be6-port0,server,be-rail-leaf-07,E1/3/2,leaf
48,21794,connected,,,compute-006,be7-port0,server,be-rail-leaf-08,E1/3/2,leaf
48,21795,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
48,21796,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
48,21797,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
48,21798,connected,,,compute-007,be1-port0,server,be-rail-leaf-02,E1/4/1,leaf
48,21799,connected,,,compute-007,be2-port0,server,be-rail-leaf-03,E1/4/1,leaf
48,21800,connected,,,compute-007,be3-port0,server,be-rail-leaf-04,E1/4/1,leaf
48,21801,connected,,,compute-007,be4-port0,server,be-rail-leaf-05,E1/4/1,leaf
48,21802,connected,,,compute-007,be5-port0,server,be-rail-leaf-06,E1/4/1,leaf
48,21803,connected,,,compute-007,be6-port0,server,be-rail-leaf-07,E1/4/1,leaf
48,21804,connected,,,compute-007,be7-port0,server,be-rail-leaf-08,E1/4/1,leaf
48,21805,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
48,21806,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
48,21807,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/4/2,leaf
48,21808,connected,,,compute-008,be1-port0,server,be-rail-leaf-02,E1/4/2,leaf
48,21809,connected,,,compute-008,be2-port0,server,be-rail-leaf-03,E1/4/2,leaf
48,21810,connected,,,compute-008,be3-port0,server,be-rail-leaf-04,E1/4/2,leaf
48,21811,connected,,,compute-008,be4-port0,server,be-rail-leaf-05,E1/4/2,leaf
48,21812,connected,,,compute-008,be5-port0,server,be-rail-leaf-06,E1/4/2,leaf
48,21813,connected,,,compute-008,be6-port0,server,be-rail-leaf-07,E1/4/2,leaf
48,21814,connected,,,compute-008,be7-port0,server,be-rail-leaf-08,E1/4/2,leaf
48,21815,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
48,21816,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
48,21817,connected,,,compute-009,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
48,21818,connected,,,compute-009,be1-port0,server,be-rail-leaf-02,E1/5/1,leaf
48,21819,connected,,,compute-009,be2-port0,server,be-rail-leaf-03,E1/5/1,leaf
48,21820,connected,,,compute-009,be3-port0,server,be-rail-leaf-04,E1/5/1,leaf
48,21821,connected,,,compute-009,be4-port0,server,be-rail-leaf-05,E1/5/1,leaf
48,21822,connected,,,compute-009,be5-port0,server,be-rail-leaf-06,E1/5/1,leaf
48,21823,connected,,,compute-009,be6-port0,server,be-rail-leaf-07,E1/5/1,leaf
48,21824,connected,,,compute-009,be7-port0,server,be-rail-leaf-08,E1/5/1,leaf
48,21825,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
48,21826,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
48,21827,connected,,,compute-010,be0-port0,server,be-rail-leaf-01,E1/5/2,leaf
48,21828,connected,,,compute-010,be1-port0,server,be-rail-leaf-02,E1/5/2,leaf
48,21829,connected,,,compute-010,be2-port0,server,be-rail-leaf-03,E1/5/2,leaf
48,21830,connected,,,compute-010,be3-port0,server,be-rail-leaf-04,E1/5/2,leaf
48,21831,connected,,,compute-010,be4-port0,server,be-rail-leaf-05,E1/5/2,leaf
48,21832,connected,,,compute-010,be5-port0,server,be-rail-leaf-06,E1/5/2,leaf
48,21833,connected,,,compute-010,be6-port0,server,be-rail-leaf-07,E1/5/2,leaf
48,21834,connected,,,compute-010,be7-port0,server,be-rail-leaf-08,E1/5/2,leaf
48,21835,connected,,,compute-010,fe-p0,server,fe-leaf-01,E1/5/2,leaf
48,21836,connected,,,compute-010,fe-p1,server,fe-leaf-02,E1/5/2,leaf
48,21837,connected,,,compute-011,be0-port0,server,be-rail-leaf-01,E1/6/1,leaf
48,21838,connected,,,compute-011,be1-port0,server,be-rail-leaf-02,E1/6/1,leaf
48,21839,connected,,,compute-011,be2-port0,server,be-rail-leaf-03,E1/6/1,leaf
48,21840,connected,,,compute-011,be3-port0,server,be-rail-leaf-04,E1/6/1,leaf
48,21841,connected,,,compute-011,be4-port0,server,be-rail-leaf-05,E1/6/1,leaf
48,21842,connected,,,compute-011,be5-port0,server,be-rail-leaf-06,E1/6/1,leaf
48,21843,connected,,,compute-011,be6-port0,server,be-rail-leaf-07,E1/6/1,leaf
48,21844,connected,,,compute-011,be7-port0,server,be-rail-leaf-08,E1/6/1,leaf
48,21845,connected,,,compute-011,fe-p0,server,fe-leaf-01,E1/5/3,leaf
48,21846,connected,,,compute-011,fe-p1,server,fe-leaf-02,E1/5/3,leaf
48,21847,connected,,,compute-012,be0-port0,server,be-rail-leaf-01,E1/6/2,leaf
48,21848,connected,,,compute-012,be1-port0,server,be-rail-leaf-02,E1/6/2,leaf
48,21849,connected,,,compute-012,be2-port0,server,be-rail-leaf-03,E1/6/2,leaf
48,21850,connected,,,compute-012,be3-port0,server,be-rail-leaf-04,E1/6/2,leaf
48,21851,connected,,,compute-012,be4-port0,server,be-rail-leaf-05,E1/6/2,leaf
48,21852,connected,,,compute-012,be5-port0,server,be-rail-leaf-06,E1/6/2,leaf
48,21853,connected,,,compute-012,be6-port0,server,be-rail-leaf-07,E1/6/2,leaf
48,21854,connected,,,compute-012,be7-port0,server,be-rail-leaf-08,E1/6/2,leaf
48,21855,connected,,,compute-012,fe-p0,server,fe-leaf-01,E1/5/4,leaf
