plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
49,22697,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
49,22698,connected,,,compute-001,be1-port0,server,be-leaf-02,E1/1/1,leaf
49,22699,connected,,,compute-001,be2-port0,server,be-leaf-03,E1/1/1,leaf
49,22700,connected,,,compute-001,be3-port0,server,be-leaf-04,E1/1/1,leaf
49,22701,connected,,,compute-001,be4-port0,server,be-leaf-05,E1/1/1,leaf
49,22702,connected,,,compute-001,be5-port0,server,be-leaf-06,E1/1/1,leaf
49,22703,connected,,,compute-001,be6-port0,server,be-leaf-07,E1/1/1,leaf
49,22704,connected,,,compute-001,be7-port0,server,be-leaf-08,E1/1/1,leaf
49,22705,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
49,22706,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
49,22707,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/1/2,leaf
49,22708,connected,,,compute-002,be1-port0,server,be-leaf-02,E1/1/2,leaf
49,22709,connected,,,compute-002,be2-port0,server,be-leaf-03,E1/1/2,leaf
49,22710,connected,,,compute-002,be3-port0,server,be-leaf-04,E1/1/2,leaf
49,22711,connected,,,compute-002,be4-port0,server,be-leaf-05,E1/1/2,leaf
49,22712,connected,,,compute-002,be5-port0,server,be-leaf-06,E1/1/2,leaf
49,22713,connected,,,compute-002,be6-port0,server,be-leaf-07,E1/1/2,leaf
49,22714,connected,,,compute-002,be7-port0,server,be-leaf-08,E1/1/2,leaf
49,22715,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
49,22716,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
49,22717,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/2/1,leaf
49,22718,connected,,,compute-003,be1-port0,server,be-leaf-02,E1/2/1,leaf
49,22719,connected,,,compute-003,be2-port0,server,be-leaf-03,E1/2/1,leaf
49,22720,connected,,,compute-003,be3-port0,server,be-leaf-04,E1/2/1,leaf
49,22721,connected,,,compute-003,be4-port0,server,be-leaf-05,E1/2/1,leaf
